step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
1,TRANSFER,39605.36,C6634586,42233.76,2628.4,C8910069,277010.72,316616.08,0
1,CASH_OUT,23375.62,C8575834,84570.46,61194.84,C5004485,43107.74,66483.36,0
1,CASH_OUT,19914.02,C3946751,60993.53,41079.51,C1432519,204716.76,224630.78,0
1,CASH_IN,3696.8,C6902401,48694.25,44997.45,C8099076,340054.5,343751.3,0
1,CASH_OUT,6425.45,C8575834,83203.61,76778.16,C6555772,64516.48,70941.93,0
1,CASH_IN,45536.51,C5924115,97346.72,51810.21,C7774229,152062.27,197598.78,0
1,TRANSFER,16139.81,C3237058,110888.12,94748.31,C9767312,259448.9,275588.71,0
1,CASH_OUT,42298.23,C4681284,105803.94,63505.71,C6188935,275420.71,317718.94,1
1,CASH_OUT,30725.27,C8106470,94824.01,64098.74,C7520395,295904.22,326629.49,0
1,CASH_IN,7718.17,C1861958,11837.6,4119.43,C3050700,431890.6,439608.77,0
1,PAYMENT,2282.64,C6701311,67395.64,65113.0,M2736473,383479.5,385762.14,0
1,DEBIT,30909.24,C3871230,119808.93,88899.69,C2957497,272788.74,303697.98,0
1,CASH_OUT,24152.41,C5896624,69506.82,45354.41,C8563202,344306.79,368459.2,0
1,TRANSFER,21985.88,C6682698,42388.18,20402.3,C4979651,303330.13,325316.01,0
1,CASH_OUT,43075.64,C5217853,140613.05,97537.41,C4786401,65383.08,108458.72,0
1,CASH_IN,5318.13,C7838382,17570.32,12252.19,C5953150,224798.01,230116.14,0
1,TRANSFER,4849.61,C7076506,91266.0,86416.39,C3698193,209067.37,213916.98,0
1,TRANSFER,40675.76,C1102438,59659.17,18983.41,C7784725,79671.21,120346.97,0
1,DEBIT,24943.0,C9196976,27260.63,2317.63,C7850067,472616.4,497559.4,0
1,CASH_IN,22866.96,C2077581,81201.37,58334.41,C8971465,24329.07,47196.03,0
1,CASH_OUT,24749.76,C4860745,78418.83,53669.07,C7217147,423586.18,448335.94,0
1,DEBIT,6705.41,C7360682,83091.09,76385.68,C6160869,182968.68,189674.09,0
1,DEBIT,2567.37,C7251976,38819.75,36252.38,C6266630,144300.85,146868.22,0
1,DEBIT,25217.73,C2919549,107748.86,82531.13,C6233774,311620.79,336838.52,0
1,CASH_IN,5949.36,C6692553,43269.19,37319.83,C9697969,493393.83,499343.19,0
1,CASH_IN,46948.04,C2936571,107194.34,60246.3,C3135534,200693.54,247641.58,0
1,PAYMENT,2274.71,C3222252,82671.3,80396.59,M6193922,259666.36,261941.07,0
1,TRANSFER,30316.96,C2538024,63113.54,32796.58,C3646552,306534.06,336851.02,0
1,TRANSFER,19653.8,C7358385,70385.3,50731.5,C8389840,254857.05,274510.85,0
1,DEBIT,35439.9,C6643798,117014.78,81574.88,C8395785,184178.9,219618.8,0
1,PAYMENT,48995.1,C8610913,128670.58,79675.48,M2585546,362662.11,411657.21,0
1,PAYMENT,29849.51,C8072684,87612.95,57763.44,M8201433,360700.06,390549.57,0
1,CASH_IN,24027.63,C5205279,38805.2,14777.57,C9249789,340363.45,364391.08,0
1,PAYMENT,28632.79,C3762152,30526.53,1893.74,M3972018,156846.24,185479.03,0
1,TRANSFER,20653.88,C4526280,70835.83,50181.95,C7435505,305739.03,326392.91,0
1,DEBIT,43642.16,C7273233,95510.48,51868.32,C2154126,280443.39,324085.55,0
1,DEBIT,26278.6,C6137284,72244.95,45966.35,C4731818,266563.53,292842.13,0
1,CASH_IN,17720.81,C7360682,36947.23,19226.42,C6682698,123259.57,140980.38,0
1,CASH_IN,14931.97,C8563202,85422.06,70490.09,C9224219,345119.96,360051.93,0
1,DEBIT,15858.87,C6123430,109228.91,93370.04,C2564141,397702.68,413561.55,0
1,CASH_OUT,14396.59,C8199311,52366.01,37969.42,C2355439,490080.27,504476.86,0
1,CASH_OUT,47730.9,C5727085,51937.55,4206.65,C7076506,477656.86,525387.76,1
1,DEBIT,32802.04,C4368777,53008.84,20206.8,C1775337,269288.96,302091.0,0
1,CASH_IN,34811.6,C6855396,96379.3,61567.7,C7728339,293415.25,328226.85,0
1,TRANSFER,2547.76,C8062546,66342.22,63794.46,C8795419,26245.55,28793.31,0
1,DEBIT,16521.38,C5204819,84640.58,68119.2,C3351868,68733.52,85254.9,0
1,CASH_IN,48895.76,C1604451,114185.04,65289.28,C5587308,440323.73,489219.49,0
1,DEBIT,23877.65,C4218542,55994.42,32116.77,C6724909,322948.96,346826.61,0
1,PAYMENT,32618.41,C9745959,106487.06,73868.65,M5293691,425166.55,457784.96,0
1,PAYMENT,45662.35,C6120253,133886.85,88224.5,M5012581,87894.35,133556.7,0
1,PAYMENT,49858.62,C3198037,68489.78,18631.16,M4955699,374501.6,424360.22,0
1,CASH_OUT,43838.39,C4698379,100634.58,56796.19,C8796514,53650.35,97488.74,0
1,CASH_OUT,22722.91,C2355439,72114.15,49391.24,C5205279,469280.25,492003.16,0
1,CASH_IN,23406.36,C7110622,56474.77,33068.41,C8633773,365559.62,388965.98,0
1,CASH_OUT,35932.72,C6647119,115009.49,79076.77,C4093109,283890.61,319823.33,0
1,TRANSFER,8782.99,C9361353,60311.06,51528.07,C3118060,43368.88,52151.87,0
1,PAYMENT,9247.21,C8351517,41607.38,32360.17,M4725179,124023.54,133270.75,0
1,CASH_OUT,19184.88,C5921894,114588.36,95403.48,C8890439,150972.92,170157.8,0
1,CASH_IN,581.67,C2194198,6794.1,6212.43,C5558623,59112.42,59694.09,0
1,CASH_OUT,7994.24,C7520395,77023.28,69029.04,C1289293,319355.66,327349.9,0
1,CASH_OUT,18383.52,C8132769,114119.57,95736.05,C5093379,239090.95,257474.47,0
1,DEBIT,37389.26,C1433940,107583.33,70194.07,C5745250,456398.44,493787.7,0
1,CASH_IN,40101.73,C7705062,108135.92,68034.19,C1098919,297907.23,338008.96,0
1,PAYMENT,26280.08,C6431983,34090.35,7810.27,M9158272,282084.36,308364.44,0
1,PAYMENT,41440.41,C2661307,98710.58,57270.17,M3532644,74926.19,116366.6,0
1,CASH_OUT,42725.76,C8280833,110755.28,68029.52,C1981186,358458.98,401184.74,0
1,CASH_IN,22279.68,C5924115,35474.11,13194.43,C9349470,207712.29,229991.97,0
1,CASH_IN,2896.26,C6068760,75224.27,72328.01,C9196976,197974.35,200870.61,0
1,PAYMENT,37292.77,C4043480,41821.75,4528.98,M1129686,172264.43,209557.2,0
1,PAYMENT,27062.76,C6007072,125676.48,98613.72,M6504979,236035.6,263098.36,0
1,CASH_OUT,20449.26,C4576135,57895.35,37446.09,C8639414,445666.8,466116.06,0
1,DEBIT,43482.32,C9706768,51507.32,8025.0,C5521644,482072.19,525554.51,0
1,CASH_IN,6658.16,C5988757,24505.52,17847.36,C1841248,268629.24,275287.4,0
1,CASH_IN,6376.08,C8793853,81994.02,75617.94,C2458591,489245.34,495621.42,0
1,DEBIT,33678.26,C2101965,86871.62,53193.36,C6338112,411680.22,445358.48,0
2,TRANSFER,23036.66,C8412769,41884.71,18848.05,C5299055,437604.09,460640.75,0
2,PAYMENT,1620.54,C6577416,25687.17,24066.63,M8434202,33645.45,35265.99,0
2,CASH_IN,1688.48,C3564251,75742.59,74054.11,C8048838,201132.68,202821.16,0
2,TRANSFER,26992.59,C3653446,77382.17,50389.58,C3646552,144631.73,171624.32,0
2,CASH_IN,15952.0,C4231028,46128.44,30176.44,C6363836,71630.22,87582.22,0
2,CASH_IN,11059.93,C9293086,17155.69,6095.76,C8801975,474260.13,485320.06,0
2,TRANSFER,31303.4,C1621086,80865.48,49562.08,C8159911,486145.12,517448.52,0
2,DEBIT,39292.37,C6144280,80118.29,40825.92,C6008935,149944.25,189236.62,0
2,TRANSFER,37723.26,C2630140,122657.35,84934.09,C2077581,150368.21,188091.47,0
2,TRANSFER,40290.75,C5418934,81558.5,41267.75,C3182975,208253.93,248544.68,0
2,DEBIT,12150.5,C5813613,76821.09,64670.59,C3123709,461113.05,473263.55,0
2,CASH_OUT,4632.28,C8315831,31478.44,26846.16,C8852574,336835.96,341468.24,0
2,CASH_IN,1986.98,C5446912,82452.04,80465.06,C2940214,293791.84,295778.82,0
2,CASH_IN,10858.66,C2422633,41177.46,30318.8,C3118618,454497.08,465355.74,0
2,TRANSFER,46858.62,C6261415,138302.75,91444.13,C3946751,347813.14,394671.76,0
2,DEBIT,45757.17,C4833486,123308.56,77551.39,C3005795,190330.87,236088.04,0
2,CASH_IN,32439.58,C9196976,68404.04,35964.46,C7360307,441405.98,473845.56,0
2,DEBIT,4939.43,C9333700,96372.48,91433.05,C3024269,185352.46,190291.89,0
2,DEBIT,2295.32,C4671545,3917.31,1621.99,C5569244,276655.78,278951.1,0
2,CASH_IN,28961.35,C8491822,44202.49,15241.14,C5502929,164932.64,193893.99,0
2,DEBIT,28493.78,C1327691,83558.03,55064.25,C1624315,471732.27,500226.05,0
2,CASH_OUT,12873.76,C7619862,58956.66,46082.9,C8630043,366386.12,379259.88,0
2,CASH_OUT,8471.59,C7390515,26876.37,18404.78,C7619862,444682.26,453153.85,0
2,PAYMENT,26201.98,C4553384,102635.86,76433.88,M1761976,206196.11,232398.09,0
2,TRANSFER,3407.72,C8106422,25279.69,21871.97,C4698379,228004.83,231412.55,0
2,PAYMENT,30895.58,C9084065,32468.76,1573.18,M1893502,266106.24,297001.82,0
2,DEBIT,602.43,C5452128,54176.24,53573.81,C4656838,143344.27,143946.7,0
2,CASH_IN,40659.73,C9823994,51361.37,10701.64,C5682940,48156.95,88816.68,0
2,TRANSFER,12056.03,C1249314,93577.47,81521.44,C9147720,133662.37,145718.4,0
2,DEBIT,3960.17,C5896624,60460.39,56500.22,C8410995,495116.52,499076.69,0
2,TRANSFER,15005.73,C1352896,24355.78,9350.05,C5107245,189632.01,204637.74,0
2,CASH_IN,23805.49,C8536477,32074.1,8268.61,C2813543,422664.9,446470.39,0
2,CASH_OUT,28297.17,C2651177,120212.39,91915.22,C6431983,114883.25,143180.42,0
2,CASH_IN,23780.26,C9279821,92223.13,68442.87,C4553384,140186.51,163966.77,0
2,CASH_IN,28179.86,C7366205,121056.5,92876.64,C5682940,157242.35,185422.21,0
2,TRANSFER,29355.93,C8350368,59283.62,29927.69,C8350099,281979.1,311335.03,0
2,CASH_IN,41734.18,C5234550,74907.16,33172.98,C8151684,377804.63,419538.81,0
2,TRANSFER,39527.0,C3030113,114072.66,74545.66,C2948178,172929.75,212456.75,0
2,PAYMENT,21860.04,C7693979,82376.91,60516.87,M9831414,306932.62,328792.66,0
2,CASH_IN,19841.19,C4256752,83253.48,63412.29,C5479144,391774.07,411615.26,0
2,DEBIT,24535.27,C8558197,118649.55,94114.28,C6686328,215923.97,240459.24,0
2,CASH_IN,33036.99,C2188789,112842.51,79805.52,C5502929,356554.27,389591.26,0
2,PAYMENT,13405.92,C9249789,87371.45,73965.53,M6587964,158339.11,171745.03,0
2,PAYMENT,4585.11,C9196976,40576.86,35991.75,M3321942,134883.22,139468.33,0
2,TRANSFER,4373.99,C8665981,60072.49,55698.5,C5096953,256220.42,260594.41,0
2,PAYMENT,1322.83,C2259379,10629.26,9306.43,M1801102,299021.9,300344.73,0
2,CASH_OUT,43187.27,C5661907,84568.28,41381.01,C8306261,389584.55,432771.82,0
2,CASH_IN,45261.33,C8816912,97371.78,52110.45,C2927455,342658.0,387919.33,0
2,TRANSFER,6950.61,C6452832,56263.0,49312.39,C6871360,31633.58,38584.19,0
2,DEBIT,13805.33,C6643798,92071.99,78266.66,C6682698,180562.46,194367.79,0
2,TRANSFER,36047.76,C2060605,81833.92,45786.16,C6038571,67744.76,103792.52,0
2,PAYMENT,47441.68,C5901239,127849.33,80407.65,M9833734,164770.86,212212.54,0
2,CASH_OUT,21536.5,C9487336,53603.02,32066.52,C9293086,473639.46,495175.96,0
2,TRANSFER,23955.7,C7685149,120828.22,96872.52,C8350368,145724.08,169679.78,0
2,DEBIT,48388.48,C6551268,85994.01,37605.53,C2686548,408247.26,456635.74,0
2,DEBIT,18257.13,C3050700,77479.83,59222.7,C8053918,272814.54,291071.67,0
2,CASH_IN,1355.54,C8664433,45201.04,43845.5,C9647849,145665.6,147021.14,0
2,PAYMENT,40950.09,C5089126,54868.0,13917.91,M2369112,151416.32,192366.41,0
2,CASH_OUT,32936.56,C7891662,40333.07,7396.51,C8893693,495350.31,528286.87,0
2,DEBIT,29116.38,C9610704,121465.96,92349.58,C7847048,434816.86,463933.24,0
2,DEBIT,27186.82,C2194198,86568.81,59381.99,C1727544,457200.62,484387.44,0
2,PAYMENT,38450.01,C7853787,103149.99,64699.98,M4253164,22148.35,60598.36,0
2,DEBIT,48340.89,C1914794,58935.35,10594.46,C9823994,49303.28,97644.17,0
2,TRANSFER,25538.71,C4442778,83590.54,58051.83,C3560856,287617.7,313156.41,0
2,DEBIT,18712.24,C7454081,33786.73,15074.49,C9264869,498851.36,517563.6,0
2,DEBIT,5236.42,C5745250,16843.35,11606.93,C2188789,470338.08,475574.5,0
2,TRANSFER,17422.95,C6097514,95849.95,78427.0,C5261032,260557.41,277980.36,0
2,CASH_OUT,23813.36,C9186400,55704.31,31890.95,C7418028,150132.04,173945.4,0
2,PAYMENT,1139.03,C6097514,68852.96,67713.93,M8202195,82177.05,83316.08,0
2,TRANSFER,25804.54,C4833486,58903.51,33098.97,C3138181,213184.69,238989.23,0
2,DEBIT,11600.46,C3583206,30239.15,18638.69,C5453786,328653.96,340254.42,0
2,DEBIT,1469.32,C6472441,60689.64,59220.32,C9911492,194417.89,195887.21,0
2,TRANSFER,10297.17,C3710343,20472.37,10175.2,C6889195,435989.67,446286.84,0
2,TRANSFER,18295.99,C7851696,29691.49,11395.5,C5825658,335350.71,353646.7,0
2,DEBIT,26390.47,C5081983,87521.31,61130.84,C6276722,293502.36,319892.83,0
2,CASH_OUT,17605.73,C5825658,98979.56,81373.83,C8896868,352994.18,370599.91,0
2,CASH_OUT,45934.94,C1527021,77253.51,31318.57,C8688755,119286.36,165221.3,1
2,CASH_OUT,34674.89,C2666893,76498.8,41823.91,C6276722,68933.65,103608.54,0
2,DEBIT,21157.71,C4785186,90501.0,69343.29,C9748499,322630.05,343787.76,0
2,TRANSFER,27750.08,C5436878,41779.73,14029.65,C9224219,157290.01,185040.09,0
2,DEBIT,30974.3,C8617381,79435.19,48460.89,C8536477,97564.25,128538.55,0
2,DEBIT,48191.82,C2661307,89105.25,40913.43,C6503032,245862.94,294054.76,0
2,DEBIT,24440.09,C2191066,27526.16,3086.07,C8095702,380528.31,404968.4,0
2,CASH_OUT,1644.43,C8658158,30511.46,28867.03,C6060517,390370.1,392014.53,0
2,CASH_IN,37128.49,C4713925,88209.09,51080.6,C2663938,286357.03,323485.52,0
2,CASH_OUT,38757.9,C8367772,121018.99,82261.09,C8441741,20805.26,59563.16,0
2,DEBIT,27322.2,C7395997,100921.07,73598.87,C8761611,326835.85,354158.05,0
2,TRANSFER,14892.47,C8755439,41173.99,26281.52,C7913081,431099.81,445992.28,0
2,PAYMENT,21959.1,C6261415,42946.92,20987.82,M2287332,368806.49,390765.59,0
2,CASH_OUT,43053.82,C9427047,104668.94,61615.12,C4971793,392424.65,435478.47,0
2,PAYMENT,28508.02,C2066326,88193.79,59685.77,M8372274,84188.68,112696.7,0
2,CASH_OUT,14473.77,C1325197,113022.6,98548.83,C3049499,339649.66,354123.43,0
2,PAYMENT,6788.09,C9526867,106036.71,99248.62,M6056977,433523.8,440311.89,0
2,TRANSFER,35074.31,C6304573,49698.65,14624.34,C4700025,161048.36,196122.67,0
2,TRANSFER,38076.06,C1909393,52293.22,14217.16,C5436878,316200.99,354277.05,0
2,DEBIT,18764.86,C6229731,59049.94,40285.08,C6944126,374901.19,393666.05,0
2,CASH_OUT,22740.24,C2515030,80935.79,58195.55,C4816534,434453.88,457194.12,0
2,PAYMENT,36549.29,C3650391,121559.91,85010.62,M4593556,397838.96,434388.25,0
2,DEBIT,10899.32,C8387112,60370.81,49471.49,C6207974,161432.57,172331.89,0
2,CASH_OUT,16894.38,C1102438,73508.59,56614.21,C7640184,242668.95,259563.33,0
3,CASH_OUT,44708.79,C3564251,54666.26,9957.47,C9548432,391944.88,436653.67,0
3,PAYMENT,46472.35,C1604451,92124.16,45651.81,M3718884,495919.12,542391.47,0
3,DEBIT,10123.89,C8670955,26021.64,15897.75,C9179730,466362.78,476486.67,0
3,CASH_OUT,4676.07,C5438490,12918.12,8242.05,C9191131,332254.41,336930.48,0
3,TRANSFER,2598.85,C1170307,45521.94,42923.09,C8379837,45599.59,48198.44,0
3,PAYMENT,64.3,C2512187,13334.28,13269.98,M8225192,113095.43,113159.73,0
3,DEBIT,474.25,C2429098,99289.74,98815.49,C3641282,211156.97,211631.22,0
3,TRANSFER,23890.24,C8481188,32823.35,8933.11,C6386463,402978.42,426868.66,0
3,PAYMENT,15674.44,C7358385,53946.54,38272.1,M8309439,406683.96,422358.4,0
3,TRANSFER,32082.39,C2737893,85133.22,53050.83,C2321324,4237.37,36319.76,0
3,TRANSFER,22010.57,C3472189,113999.98,91989.41,C5641923,308038.01,330048.58,0
3,DEBIT,42999.53,C4993055,57000.84,14001.31,C3351868,61578.61,104578.14,0
3,DEBIT,17583.27,C8387112,96690.94,79107.67,C8939993,123893.19,141476.46,0
3,PAYMENT,12415.87,C9937982,97205.08,84789.21,M5582979,329202.69,341618.56,0
3,CASH_OUT,10280.23,C8460758,85064.59,74784.36,C7462506,147771.03,158051.26,0
3,PAYMENT,39192.24,C7426265,77780.8,38588.56,M4955699,120540.88,159733.12,0
3,CASH_IN,3559.89,C6708456,96952.33,93392.44,C4318855,65991.44,69551.33,0
3,CASH_IN,21048.97,C6455706,97321.56,76272.59,C8896868,477226.49,498275.46,0
3,PAYMENT,844.3,C1971823,27062.83,26218.53,M5565128,19913.43,20757.73,0
3,PAYMENT,47434.51,C8350368,76083.29,28648.78,M6346644,356314.54,403749.05,0
3,DEBIT,21184.53,C7844947,85238.26,64053.73,C1120642,268827.68,290012.21,0
3,TRANSFER,13880.61,C9234615,65011.08,51130.47,C5159166,101598.75,115479.36,0
3,TRANSFER,26824.14,C9633492,57841.09,31016.95,C7089806,218743.02,245567.16,0
3,TRANSFER,2904.72,C9626108,14503.38,11598.66,C5446344,306148.4,309053.12,0
3,PAYMENT,15471.41,C4818418,16737.91,1266.5,M1349914,68605.9,84077.31,0
3,PAYMENT,8199.99,C8558378,59922.27,51722.28,M3328554,411253.44,419453.43,0
3,CASH_OUT,8356.48,C8033426,81650.06,73293.58,C4761823,59028.36,67384.84,0
3,PAYMENT,16757.2,C8387112,69142.62,52385.42,M3895058,131474.83,148232.03,0
3,CASH_IN,31380.37,C8789116,82458.56,51078.19,C5261032,27719.56,59099.93,0
3,CASH_IN,8352.4,C3500715,85685.3,77332.9,C8841505,447134.21,455486.61,0
3,PAYMENT,11427.94,C8438733,15831.73,4403.79,M2425342,431464.25,442892.19,0
3,TRANSFER,2308.62,C3386328,94331.27,92022.65,C6386463,89480.47,91789.09,0
3,PAYMENT,27647.71,C6577416,59827.91,32180.2,M6207779,208128.3,235776.01,0
3,CASH_OUT,13570.19,C8574680,50851.01,37280.82,C7166651,251020.47,264590.66,0
3,PAYMENT,8975.42,C4558545,104383.36,95407.94,M6174418,34463.22,43438.64,0
3,DEBIT,43302.95,C1289293,51941.5,8638.55,C4816534,228373.09,271676.04,0
3,CASH_OUT,10041.55,C3050700,83999.15,73957.6,C6709938,121292.0,131333.55,0
3,CASH_OUT,29588.63,C4922880,102834.96,73246.33,C6038571,273279.62,302868.25,0
3,TRANSFER,7536.81,C3426689,30836.58,23299.77,C5855124,173211.85,180748.66,0
3,PAYMENT,47550.0,C5614226,132450.6,84900.6,M2696860,363607.52,411157.52,0
3,PAYMENT,10267.67,C3321531,59470.56,49202.89,M6192009,29947.54,40215.21,0
3,TRANSFER,35585.51,C6944126,127712.95,92127.44,C8187926,448643.74,484229.25,0
3,CASH_IN,20658.71,C8248238,118114.19,97455.48,C3650391,42451.21,63109.92,0
3,PAYMENT,25276.33,C7069650,84465.91,59189.58,M9344741,31141.43,56417.76,0
3,TRANSFER,11846.22,C5364698,104450.42,92604.2,C9907391,196476.34,208322.56,0
3,CASH_OUT,15909.71,C1341919,23378.45,7468.74,C5606980,101356.31,117266.02,0
3,CASH_IN,5457.55,C2564689,50414.22,44956.67,C6933742,157016.64,162474.19,0
3,PAYMENT,26800.87,C8938746,57631.64,30830.77,M7227905,132503.96,159304.83,0
3,PAYMENT,4530.14,C5691890,26032.22,21502.08,M5752087,428286.64,432816.78,0
3,TRANSFER,4569.73,C6009888,44194.18,39624.45,C8558197,24475.31,29045.04,0
3,CASH_OUT,13015.74,C8722606,108225.4,95209.66,C9961380,427300.65,440316.39,0
3,CASH_IN,37406.44,C4700025,83610.76,46204.32,C8835373,401948.38,439354.82,0
3,TRANSFER,6081.45,C3564217,19152.97,13071.52,C9689889,411836.71,417918.16,0
3,CASH_OUT,34317.4,C2130789,92929.28,58611.88,C4609330,458714.29,493031.69,0
3,PAYMENT,1099.79,C9197443,91349.4,90249.61,M6422534,221715.66,222815.45,0
3,TRANSFER,4608.01,C1914794,8877.64,4269.63,C4117625,230497.46,235105.47,0
3,TRANSFER,46207.34,C2255409,95819.98,49612.64,C9363326,191364.72,237572.06,0
3,CASH_OUT,10743.66,C8321474,38729.12,27985.46,C8801975,441711.9,452455.56,0
3,PAYMENT,30709.19,C1327691,80598.35,49889.16,M7858012,441389.29,472098.48,0
3,DEBIT,3058.34,C6233774,16781.94,13723.6,C6386463,99728.9,102787.24,0
3,CASH_IN,12464.9,C6404139,111405.26,98940.36,C3094235,390957.88,403422.78,0
3,CASH_OUT,23989.43,C2932227,115257.13,91267.7,C5163953,251196.63,275186.06,0
3,DEBIT,13529.08,C5663623,73240.72,59711.64,C5217853,14651.73,28180.81,0
3,CASH_OUT,2938.98,C4189885,38682.27,35743.29,C5452128,291994.46,294933.44,0
3,TRANSFER,48699.25,C3351868,114385.69,65686.44,C6901533,133263.5,181962.75,0
3,PAYMENT,38204.85,C3475836,122855.36,84650.51,M3408819,398695.34,436900.19,0
3,CASH_OUT,46760.95,C4348276,70416.06,23655.11,C4740036,159002.18,205763.13,0
3,CASH_OUT,45699.86,C7210606,140455.73,94755.87,C2362099,281803.24,327503.1,0
3,TRANSFER,41836.48,C7232293,72741.79,30905.31,C8441741,245218.21,287054.69,1
3,TRANSFER,30087.12,C7350753,77886.02,47798.9,C1249314,165867.0,195954.12,0
3,CASH_IN,10081.2,C7640184,81774.96,71693.76,C9250138,459390.39,469471.59,0
3,CASH_OUT,2987.2,C4415796,80423.85,77436.65,C1131249,423240.44,426227.64,0
3,CASH_OUT,48028.33,C1433940,106630.0,58601.67,C1865901,168280.54,216308.87,0
3,TRANSFER,36620.28,C9952696,101538.31,64918.03,C7667458,87101.34,123721.62,0
3,CASH_IN,34681.08,C5886520,101234.25,66553.17,C1842524,407227.12,441908.2,0
3,DEBIT,15348.09,C8307727,33118.92,17770.83,C9770838,898.95,16247.04,0
3,CASH_IN,19586.16,C2738129,37794.34,18208.18,C8755439,159108.46,178694.62,0
3,CASH_IN,11052.55,C1863121,104721.33,93668.78,C2642635,70321.68,81374.23,0
3,PAYMENT,11907.42,C4867786,75526.1,63618.68,M4253164,481539.81,493447.23,0
3,CASH_OUT,22337.03,C8072684,47291.12,24954.09,C9647849,33897.39,56234.42,0
3,CASH_OUT,39353.13,C5614226,77946.84,38593.71,C2839607,366292.25,405645.38,0
3,TRANSFER,44228.75,C2817745,79351.87,35123.12,C5666692,187673.79,231902.54,0
3,CASH_IN,32551.97,C3237058,77680.71,45128.74,C4524499,399597.28,432149.25,0
3,PAYMENT,14752.48,C6144280,109918.69,95166.21,M2038068,37100.2,51852.68,0
3,TRANSFER,44397.68,C6171716,99102.31,54704.63,C4374754,449062.09,493459.77,1
3,CASH_IN,49263.95,C5311242,92396.28,43132.33,C9961380,326817.59,376081.54,0
3,CASH_IN,44488.77,C2262382,54614.55,10125.78,C2921859,102775.24,147264.01,0
3,TRANSFER,20469.9,C7689582,46996.38,26526.48,C7738019,140761.54,161231.44,0
3,TRANSFER,4804.84,C1909393,59771.1,54966.26,C7166651,245474.14,250278.98,0
3,PAYMENT,18047.84,C3118060,47502.78,29454.94,M4860617,331010.11,349057.95,0
3,CASH_IN,24021.62,C6692553,44716.92,20695.3,C7377459,319095.33,343116.95,0
3,PAYMENT,23683.8,C5977931,102171.46,78487.66,M2585546,235472.23,259156.03,0
3,CASH_OUT,4565.93,C3488628,23054.05,18488.12,C8630712,442746.35,447312.28,0
3,CASH_OUT,9337.28,C7073292,53311.32,43974.04,C6483562,131700.4,141037.68,0
3,CASH_OUT,28216.69,C8106422,36787.42,8570.73,C6692553,171895.69,200112.38,0
3,CASH_IN,20705.19,C8425149,26803.56,6098.37,C8608449,193553.05,214258.24,0
3,CASH_IN,20937.42,C8583392,78208.85,57271.43,C8395785,117821.01,138758.43,0
3,CASH_OUT,3956.96,C1938483,61078.95,57121.99,C3276065,258408.7,262365.66,0
3,CASH_IN,33879.97,C6752576,128805.45,94925.48,C3641282,224519.87,258399.84,0
3,TRANSFER,48608.52,C7110622,52876.11,4267.59,C2375453,39184.26,87792.78,0
4,TRANSFER,49863.49,C4415796,81838.44,31974.95,C2408404,363551.5,413414.99,0
4,PAYMENT,19411.08,C3198037,52023.76,32612.68,M3044276,138100.41,157511.49,0
